n,d,num_cliques,C_max,fidelity,KL,success_rate,num_gates,depth,shots,w_min,w_max
1,2,1,1,0.9999994364361354,1.1272385969406714e-06,0.167282,26,18,1000000,-2.000684692305585,-1.6123877845541146
1,2,1,1,0.9999997949976306,4.1034005084596603e-07,0.30035,42,29,1000000,-3.9820527125838536,-0.5413553564210929
1,2,1,1,0.9999997973772361,4.053274966572145e-07,0.422456,27,18,1000000,-1.6801005154779158,-0.41920600568530375
1,2,1,1,0.9999997993342488,4.0165865688234306e-07,0.251253,26,18,1000000,-4.173817816953183,-0.7191327063065742
1,2,1,1,0.9999999996549289,6.901405981425527e-10,0.259799,44,31,1000000,-1.481344594590317,-1.2299386558420093
1,2,1,1,0.9999998128659694,3.7425289812988063e-07,0.06632,24,16,1000000,-2.858751856996116,-2.577392257315806
1,2,1,1,0.9999995224198897,9.554575173277005e-07,0.328456,45,31,1000000,-1.932527959827537,-0.6699249794351747
1,2,1,1,0.999999805527121,3.88962457034789e-07,0.752417,27,18,1000000,-0.44054839456408157,-0.1508412771266352
1,2,1,1,0.9999986404855066,2.7135510999216103e-06,0.49222,27,18,1000000,-3.4197972243714987,-0.04848291786655867
1,2,1,1,0.999997697271708,4.600966601445372e-06,0.0908,44,31,1000000,-3.5793204418487905,-1.8620502285334335
2,4,1,2,0.9999940333938612,1.194196441286501e-05,0.025874,128,79,1000000,-4.7758269353298415,-2.8110419850124684
2,4,1,2,0.9999786438815477,4.2613426912255486e-05,0.032189,91,60,1000000,-4.733686310548616,-2.765487836457531
2,4,1,2,0.9999965970184769,6.797793137894997e-06,0.278706,149,95,1000000,-3.329599010485053,-0.1194961406454258
2,4,1,2,0.99999323425706,1.3546055862864162e-05,0.107179,149,93,1000000,-4.0165561718332645,-1.8079729448424384
2,4,1,2,0.9999978027356087,4.392636219959387e-06,0.325043,116,66,1000000,-4.723191031862327,-0.12630098152262992
2,4,1,2,0.9999994420065158,1.1157293364955878e-06,0.211293,141,95,1000000,-4.917391650953578,-0.678833371689163
2,4,1,2,0.9999965669808321,6.870971423059906e-06,0.249921,118,75,1000000,-3.691232417620977,-0.570564945436586
2,4,1,2,0.999998958081502,2.0830658690181936e-06,0.219006,147,91,1000000,-4.2521323611637545,-0.2953036218884666
2,4,1,2,0.9999976484412674,4.710471602584459e-06,0.163502,105,56,1000000,-3.8191211105113676,-0.5499806932966536
2,4,1,2,0.9999995500098835,9.003148207230541e-07,0.415658,121,70,1000000,-4.767854148024354,-0.08729059512216697
3,8,2,2,0.9999346655082192,0.00013195539469211586,0.034033,796,567,1000000,-4.033613185200763,-0.5487584952804871
3,8,2,2,0.9999427901712175,0.00011593600943201037,0.038346,718,488,1000000,-4.780511946590264,-0.47340989122897525
3,8,2,2,0.9997874682194743,0.0004545629325490749,0.01287,720,495,1000000,-4.965637236993439,-0.35042693770743405
3,8,2,2,0.9999465740946147,0.00010765052164422233,0.061903,746,534,1000000,-3.9361554359271316,-0.1800002771287632
3,8,2,2,0.9999596685610188,7.70643951624608e-05,0.098963,738,523,1000000,-4.9697385778670276,-0.2713321809859508
3,8,2,2,0.9999927438290603,1.4806165903788829e-05,0.070719,770,545,1000000,-4.757418134763658,-0.3465530259148757
3,8,2,2,0.9999678796403565,6.362938716453952e-05,0.021156,717,484,1000000,-4.728325833275227,-0.8497311621484576
3,8,2,2,0.9998065177623677,0.0003899931039412117,0.012395,812,585,1000000,-4.660101087595934,-0.4183290444869794
3,8,2,2,0.9999708158682372,5.808395162631291e-05,0.009833,722,495,1000000,-4.876828800921928,-1.3712327728108211
3,8,2,2,0.9999170004477919,0.000166247163742036,0.023445,705,489,1000000,-4.585493582092273,-0.7024520126333726
4,12,3,2,0.9969718930638786,0.005893783932532383,0.00096,3048,2306,1000000,-4.22698716485904,-0.31119151021707214
4,12,3,2,0.9986234728606845,0.002726476594344351,0.00145,3164,2360,1000000,-4.793240560916664,-0.683732282012639
4,12,3,2,0.9998672816191578,0.00026352616997083546,0.016678,3278,2499,1000000,-3.8874090776928227,-0.24121000473607968
4,12,3,2,0.9991716098881526,0.0010153817705870665,0.004025,3258,2502,1000000,-4.6448070879749705,-0.6560245231187203
4,12,3,2,0.9999053023183452,0.00018118613612726604,0.032362,3273,2515,1000000,-4.955896798308097,-0.06326987696777309
4,12,3,2,0.9810850811972233,0.0346429883221366,0.000349,3196,2376,1000000,-4.791283175758179,-0.17317404209960685
4,12,3,2,0.9989009596879012,0.002065503842914291,0.007203,3505,2656,1000000,-4.951875931732031,-0.0880133596301631
4,12,3,2,0.999815676673506,0.0003625154624365383,0.012249,3361,2610,1000000,-4.416202893925522,-0.02372877620188163
4,12,3,2,0.9994562303940462,0.0010900545286519374,0.008299,3088,2377,1000000,-4.753592124729784,-0.08722389892383386
4,12,3,2,0.9988827137619742,0.0024685267025733562,0.004591,3409,2637,1000000,-4.933560634490409,-0.006130898769762361
