1,2,1,1,0.9999996130910301,0.3309525,55,31,400000,-4.052576570997911,-0.43828086486728424
1,2,1,1,0.9999935777900252,0.05391,68,42,400000,-4.001227961849543,-2.4116605788404684
1,2,1,1,0.9999738077931319,0.0564125,53,31,400000,-3.8003980457513284,-2.395585571758232
1,2,1,1,0.999996564763666,0.0568775,53,31,400000,-4.8970134495743585,-2.2489100740378785
1,2,1,1,0.9999871640386907,0.0960475,66,40,400000,-2.924528249067452,-1.9769584830961406
1,2,1,1,0.9999814311291368,0.038645,53,31,400000,-3.987046991189505,-2.8519416700616764
1,2,1,1,0.9999991619020079,0.050775,71,44,400000,-4.108860123178201,-2.4690789449690915
1,2,1,1,0.999999934715806,0.24629,68,41,400000,-1.5802917162498673,-1.2461511047962515
1,2,1,1,0.9999990251797595,0.3531175,68,41,400000,-1.4275799455049163,-0.7608141444407917
1,2,1,1,0.999998630338625,0.3364975,69,42,400000,-3.1458655274745446,-0.4608407994698718
2,4,1,2,0.999995877801739,0.1281425,318,199,400000,-4.961287950076409,-0.7666595711788524
2,4,1,2,0.9999954477240623,0.2620925,333,220,400000,-3.9903980185647345,-0.22918551018487143
2,4,1,2,0.9999989418995033,0.239955,276,185,400000,-3.829418396479591,-0.205230181046538
2,4,1,2,0.9999919145057206,0.0700775,338,234,400000,-3.5348798628767355,-2.1950716726808333
2,4,1,2,0.9999976735256879,0.118865,331,220,400000,-4.41537298876827,-1.2264614769866569
2,4,1,2,0.9999919014363231,0.1258475,313,205,400000,-3.0541426435156285,-1.284690011445007
2,4,1,2,0.999995140035485,0.2959075,307,198,400000,-4.822794129544791,-0.34767975820133845
2,4,1,2,0.9999925942297195,0.0516325,277,174,400000,-4.12703354095823,-2.1775682154353047
2,4,1,2,0.9999814879065738,0.0677725,322,214,400000,-3.7650403529884424,-1.6643116361074575
2,4,1,2,0.9999986591775161,0.4702975,345,231,400000,-1.7474818216428538,-0.30602852334332287
3,8,2,2,0.9999425587248462,0.0658625,1954,1392,400000,-4.429873527932344,-0.49284003108050545
3,8,2,2,0.999948109557004,0.032485,2038,1471,400000,-4.58087842691978,-0.32684543760964235
3,8,2,2,0.9998665331010791,0.02494,2131,1530,400000,-3.88826142903823,-0.23147197587958868
3,8,2,2,?,0.0,2126,1502,400000,-4.922252588530439,-0.13653366115382415
3,8,2,2,?,0.0,2226,1624,400000,-4.81213437220845,-1.1737233436414294
3,8,2,2,0.9995352772377589,0.0085175,2065,1471,400000,-4.589555944867238,-1.4278946883005643
3,8,2,2,0.999472663135397,0.01207,2039,1466,400000,-4.098674381022009,-1.358221606237271
3,8,2,2,0.9999363302313018,0.08912,2148,1497,400000,-4.895636339189874,-0.14365249325436125
3,8,2,2,0.9999198109030271,0.0404275,2025,1443,400000,-4.644589162697322,-0.10423009821367213
3,8,2,2,0.9996059613638627,0.0105975,2105,1505,400000,-4.846557523703496,-0.14224285464706554
4,12,3,2,?,0.0,11102,8739,400000,-4.384669189273813,-0.7204836402817207
4,12,3,2,?,0.0,10725,8403,400000,-4.8391548980930965,-0.7556776535518797
