n,d,num_cliques,C_max,fidelity,KL,success_rate,num_gates,depth,shots,w_min,w_max
4,16,4,2,0.9978069766980704,0.0016870907271711558,0.001572,13103,10215,1000000,-4.504466205214547,-0.10332470997444876
4,16,4,2,0.9972191238572945,0.0051506488509503725,0.000856,13096,10268,1000000,-4.7701913388452954,-0.13310406590599122
4,16,4,2,0.9019921391897234,0.06840299620506352,2.6e-05,12750,9982,1000000,-4.897261696535076,-1.0107310877390092
4,16,4,2,0.7909530376485712,-0.024903883397531745,2.3e-05,13453,10632,1000000,-4.804802446160641,-1.1834432779393205
4,16,4,2,0.99311095960334,0.005512085662646429,0.000794,13230,10345,1000000,-4.488043302302817,-0.10505115696315404
4,16,4,2,0.9372511270684251,0.07181273129609977,6.3e-05,12734,9924,1000000,-4.735839181797287,-0.5706393980509112
4,16,4,2,0.9991882378579575,0.00041416246418460437,0.003547,13083,10250,1000000,-4.989224685786734,-0.22984757982992043
4,16,4,2,0.9809832247747483,0.017519270314623497,0.000265,12655,9741,1000000,-4.597356279365341,-0.5002229897996289
4,16,4,2,0.9969227062958381,0.0037595437071449916,0.001677,12937,10079,1000000,-4.674786213820186,-0.1270520741515062
4,16,4,2,0.9785932777169877,0.025256821896834508,0.000101,13036,10152,1000000,-4.872762097067041,-0.47685096897278534
5,24,5,3,0.8497155832231928,-0.004340922545224246,8.9e-05,74831,63293,1000000,-4.904557117286442,-0.043155500007873826
5,24,5,3,0.6941581986265757,-0.2534061936851291,1e-06,76177,64691,1000000,-4.916121451998809,-0.3889202793834148
5,24,5,3,0.9070343218736021,0.010161255087437919,4.8e-05,76213,64623,1000000,-4.773434902776007,-0.05077970324022196
5,24,5,3,0.09979500227418378,-0.2299912720535927,1e-06,73937,62726,1000000,-4.971533754104644,-0.14124825040257072
5,24,5,3,0.8969254735757909,0.017702144288598523,5.5e-05,73551,62206,1000000,-4.441139048701973,-0.1914220532523201
5,24,5,3,0.4484491728816397,-0.08400657469996671,6e-06,74889,63361,1000000,-4.909387834907495,-0.009727791460558244
5,24,5,3,nan,0,0.0,75243,63640,1000000,-4.970820125635089,-0.05828101664486596
5,24,5,3,0.8657203858828231,-0.00012786782964024196,2.5e-05,74123,62754,1000000,-4.895898176101687,-0.051361036259859105
5,24,5,3,nan,0,0.0,74503,62944,1000000,-4.671915209828017,-0.018477182516667412
5,24,5,3,0.27159208799383466,-0.3244901293798262,3e-06,74454,63068,1000000,-4.358175159359972,-0.0534147363957187
